date,close,,,Fake date
20-Apr-14,19.72,,,20-Apr-10
13-Apr-14,19.73,,,13-Apr-10
6-Apr-14,18.67,,,6-Apr-10
30-Mar-14,18.67,,,30-Mar-10
23-Mar-14,18.52,,,23-Mar-10
16-Mar-14,18.59,,,16-Mar-10
9-Mar-14,18.46,,,9-Mar-10
2-Mar-14,19.01,,,2-Mar-10
23-Feb-14,19.01,,,23-Feb-10
16-Feb-14,20.73,,,16-Feb-10
9-Feb-14,15.66,,,9-Feb-10
2-Feb-14,15.66,,,2-Feb-10
26-Jan-14,13.58,,,26-Jan-10
19-Jan-14,14.14,,,19-Jan-10
12-Jan-14,13.96,,,12-Jan-10
5-Jan-14,10.28,,,5-Jan-10
29-Dec-14,10.35,,,29-Dec-09
22-Dec-14,9.21,,,22-Dec-09
15-Dec-14,9.21,,,15-Dec-09
8-Dec-14,8.78,,,8-Dec-09
1-Dec-14,6.77,,,1-Dec-09
24-Nov-14,6.74,,,24-Nov-09
17-Nov-14,5.14,,,17-Nov-09
10-Nov-14,5.14,,,10-Nov-09
3-Nov-14,5.07,,,3-Nov-09
27-Oct-14,5.07,,,27-Oct-09
20-Oct-14,8.91,,,20-Oct-09
13-Oct-14,11.17,,,13-Oct-09
6-Oct-14,11.65,,,6-Oct-09
29-Sep-14,12.11,,,29-Sep-09
22-Sep-14,11.43,,,22-Sep-09
15-Sep-14,14.46,,,15-Sep-09
8-Sep-14,17.08,,,8-Sep-09
1-Sep-14,12.27,,,1-Sep-09
25-Aug-14,12.82,,,25-Aug-09
18-Aug-14,11.59,,,18-Aug-09
11-Aug-14,15.42,,,11-Aug-09
4-Aug-14,13.14,,,4-Aug-09
28-Jul-14,9.97,,,28-Jul-09
21-Jul-14,9.7,,,21-Jul-09
14-Jul-14,9.06,,,14-Jul-09
7-Jul-14,10.04,,,7-Jul-09
30-Jun-14,9.77,,,30-Jun-09
23-Jun-14,11.02,,,23-Jun-09
16-Jun-14,18.47,,,16-Jun-09
9-Jun-14,20.69,,,9-Jun-09
2-Jun-14,21.93,,,2-Jun-09
26-May-14,11.12,,,26-May-09
19-May-14,17.95,,,19-May-09
12-May-14,14.33,,,12-May-09
5-May-14,17.8,,,5-May-09
28-Apr-14,23.99,,,28-Apr-09
21-Apr-14,20.8,,,21-Apr-09
14-Apr-14,32.1,,,14-Apr-09
7-Apr-14,35.2,,,7-Apr-09
31-Mar-14,39.2,,,31-Mar-09
24-Mar-14,41.63,,,24-Mar-09
17-Mar-14,41.01,,,17-Mar-09
10-Mar-14,41.01,,,10-Mar-09
3-Mar-14,41.29,,,3-Mar-09
24-Feb-14,33.48,,,24-Feb-09
17-Feb-14,34.24,,,17-Feb-09
10-Feb-14,34.23,,,10-Feb-09
3-Feb-14,33.07,,,3-Feb-09
27-Jan-14,35.57,,,27-Jan-09
20-Jan-14,33.12,,,20-Jan-09
13-Jan-14,33.82,,,13-Jan-09
6-Jan-14,34.94,,,6-Jan-09
30-Dec-14,35.68,,,30-Dec-08
23-Dec-14,38.91,,,23-Dec-08
16-Dec-14,38.77,,,16-Dec-08
9-Dec-14,38.48,,,9-Dec-08
2-Dec-14,38.39,,,2-Dec-08
25-Nov-14,33.33,,,25-Nov-08
18-Nov-14,33.33,,,18-Nov-08
11-Nov-14,29.18,,,11-Nov-08
4-Nov-14,29.6,,,4-Nov-08
28-Oct-14,29.69,,,28-Oct-08
21-Oct-14,30.13,,,21-Oct-08
14-Oct-14,30.45,,,14-Oct-08
7-Oct-14,39.15,,,7-Oct-08
30-Sep-14,39.19,,,30-Sep-08
23-Sep-14,39.21,,,23-Sep-08
16-Sep-14,40.17,,,16-Sep-08
9-Sep-14,43.1,,,9-Sep-08
2-Sep-14,45.22,,,2-Sep-08
26-Aug-14,50.94,,,26-Aug-08
19-Aug-14,45.26,,,19-Aug-08
12-Aug-14,49.61,,,12-Aug-08
5-Aug-14,55.92,,,5-Aug-08
29-Jul-14,49.49,,,29-Jul-08
22-Jul-14,50.68,,,22-Jul-08
15-Jul-14,41.34,,,15-Jul-08
8-Jul-14,37.77,,,8-Jul-08
1-Jul-14,35.09,,,1-Jul-08
24-Jun-14,36.06,,,24-Jun-08
17-Jun-14,37.29,,,17-Jun-08
10-Jun-14,35.75,,,10-Jun-08
3-Jun-14,38.05,,,3-Jun-08
27-May-14,40.87,,,27-May-08
20-May-14,53.24,,,20-May-08
13-May-14,52.26,,,13-May-08
6-May-14,53.89,,,6-May-08
29-Apr-14,55.49,,,29-Apr-08
22-Apr-14,55.88,,,22-Apr-08
15-Apr-14,55.88,,,15-Apr-08
8-Apr-14,56.44,,,8-Apr-08
1-Apr-14,57.37,,,1-Apr-08
25-Mar-14,59.87,,,25-Mar-08
18-Mar-14,59.62,,,18-Mar-08
11-Mar-14,59.62,,,11-Mar-08
4-Mar-14,59.62,,,4-Mar-08
26-Feb-14,59.8,,,26-Feb-08
19-Feb-14,59.79,,,19-Feb-08
12-Feb-14,59.88,,,12-Feb-08
5-Feb-14,59.88,,,5-Feb-08
29-Jan-14,56.55,,,29-Jan-08
22-Jan-14,53.97,,,22-Jan-08
15-Jan-14,53.97,,,15-Jan-08
8-Jan-14,53.26,,,8-Jan-08
1-Jan-14,53.16,,,1-Jan-08
25-Dec-14,53.16,,,25-Dec-07
18-Dec-14,53.16,,,18-Dec-07
